uri,ecartico
http://data.bibliotheken.nl/id/thes/p091717639,https://www.vondel.humanities.uva.nl/ecartico/persons/6794
http://data.bibliotheken.nl/id/thes/p068068344,https://www.vondel.humanities.uva.nl/ecartico/persons/6582
https://id.rijksmuseum.nl/310100844,https://www.vondel.humanities.uva.nl/ecartico/persons/6582
https://id.rijksmuseum.nl/310139241,https://www.vondel.humanities.uva.nl/ecartico/persons/1111
http://data.bibliotheken.nl/id/thes/p070915652,https://www.vondel.humanities.uva.nl/ecartico/persons/1111
http://data.bibliotheken.nl/id/thes/p075539586,https://www.vondel.humanities.uva.nl/ecartico/persons/1111
http://data.bibliotheken.nl/id/thes/p068517491,https://www.vondel.humanities.uva.nl/ecartico/persons/1455
https://id.rijksmuseum.nl/31016122,https://www.vondel.humanities.uva.nl/ecartico/persons/1455
https://id.rijksmuseum.nl/31043114,https://www.vondel.humanities.uva.nl/ecartico/persons/3273
http://data.bibliotheken.nl/id/thes/p06889015X,https://www.vondel.humanities.uva.nl/ecartico/persons/3273
https://id.rijksmuseum.nl/31056854,https://www.vondel.humanities.uva.nl/ecartico/persons/4130
http://data.bibliotheken.nl/id/thes/p101843992,https://www.vondel.humanities.uva.nl/ecartico/persons/4130
http://data.bibliotheken.nl/id/thes/p071685227,https://www.vondel.humanities.uva.nl/ecartico/persons/6808
http://data.bibliotheken.nl/id/thes/p075558998,https://www.vondel.humanities.uva.nl/ecartico/persons/6808
https://id.rijksmuseum.nl/310105313,https://www.vondel.humanities.uva.nl/ecartico/persons/6808
http://data.bibliotheken.nl/id/thes/p068824491,https://www.vondel.humanities.uva.nl/ecartico/persons/657
https://id.rijksmuseum.nl/3104557,https://www.vondel.humanities.uva.nl/ecartico/persons/657
https://id.rijksmuseum.nl/310118675,https://www.vondel.humanities.uva.nl/ecartico/persons/7900
http://data.bibliotheken.nl/id/thes/p069075220,https://www.vondel.humanities.uva.nl/ecartico/persons/7900
http://data.bibliotheken.nl/id/thes/p075562995,https://www.vondel.humanities.uva.nl/ecartico/persons/7900
http://data.bibliotheken.nl/id/thes/p089246179,https://www.vondel.humanities.uva.nl/ecartico/persons/7900
https://id.rijksmuseum.nl/31024647,https://www.vondel.humanities.uva.nl/ecartico/persons/2184
http://data.bibliotheken.nl/id/thes/p09824910X,https://www.vondel.humanities.uva.nl/ecartico/persons/2194
https://id.rijksmuseum.nl/31024686,https://www.vondel.humanities.uva.nl/ecartico/persons/2194
